Row,Column,Similarity
bbc/business_6,bbc/business_252,1.00
bbc/business_208,bbc/business_228,0.90
bbc/business_213,bbc/business_239,1.00
bbc/business_214,bbc/business_493,1.00
bbc/business_253,bbc/business_446,0.68
bbc/business_255,bbc/business_370,1.00
bbc/business_257,bbc/business_355,1.00
bbc/business_259,bbc/business_353,0.88
bbc/business_264,bbc/business_332,1.00
bbc/business_266,bbc/business_364,1.00
bbc/business_285,bbc/business_492,1.00
bbc/business_289,bbc/business_437,1.00
bbc/business_291,bbc/business_415,1.00
bbc/entertainment_512,bbc/entertainment_781,1.00
bbc/entertainment_516,bbc/entertainment_522,0.74
bbc/entertainment_532,bbc/entertainment_782,1.00
bbc/entertainment_548,bbc/entertainment_591,1.00
bbc/entertainment_552,bbc/entertainment_865,1.00
bbc/entertainment_555,bbc/entertainment_847,1.00
bbc/entertainment_558,bbc/entertainment_844,1.00
bbc/entertainment_560,bbc/entertainment_578,1.00
bbc/entertainment_567,bbc/entertainment_857,0.94
bbc/entertainment_571,bbc/entertainment_879,0.98
bbc/entertainment_577,bbc/entertainment_817,1.00
bbc/entertainment_582,bbc/entertainment_859,1.00
bbc/entertainment_583,bbc/entertainment_597,1.00
bbc/entertainment_585,bbc/entertainment_609,0.52
bbc/entertainment_588,bbc/entertainment_840,0.96
bbc/entertainment_595,bbc/entertainment_837,1.00
bbc/entertainment_605,bbc/entertainment_843,1.00
bbc/entertainment_611,bbc/entertainment_850,1.00
bbc/entertainment_612,bbc/entertainment_636,1.00
bbc/entertainment_614,bbc/entertainment_744,1.00
bbc/entertainment_638,bbc/entertainment_770,1.00
bbc/entertainment_642,bbc/entertainment_654,1.00
bbc/entertainment_647,bbc/entertainment_667,1.00
bbc/entertainment_651,bbc/entertainment_738,0.84
bbc/entertainment_661,bbc/entertainment_672,0.60
bbc/entertainment_671,bbc/entertainment_759,1.00
bbc/entertainment_688,bbc/entertainment_725,0.94
bbc/politics_899,bbc/politics_1225,1.00
bbc/politics_900,bbc/politics_1254,1.00
bbc/politics_902,bbc/politics_1246,1.00
bbc/politics_916,bbc/politics_1251,1.00
bbc/politics_938,bbc/politics_1208,0.62
bbc/politics_954,bbc/politics_1193,1.00
bbc/politics_959,bbc/politics_1056,0.50
bbc/politics_962,bbc/politics_1285,1.00
bbc/politics_964,bbc/politics_1206,1.00
bbc/politics_964,bbc/politics_1207,0.84
bbc/politics_972,bbc/politics_1249,0.80
bbc/politics_976,bbc/politics_1194,1.00
bbc/politics_977,bbc/politics_1278,1.00
bbc/politics_978,bbc/politics_1180,1.00
bbc/politics_983,bbc/politics_1232,0.74
bbc/politics_1002,bbc/politics_1237,1.00
bbc/politics_1003,bbc/politics_1186,1.00
bbc/politics_1005,bbc/politics_1262,1.00
bbc/politics_1006,bbc/politics_1188,0.54
bbc/politics_1012,bbc/politics_1182,1.00
bbc/politics_1017,bbc/politics_1277,0.50
bbc/politics_1018,bbc/politics_1205,1.00
bbc/politics_1020,bbc/politics_1181,1.00
bbc/politics_1036,bbc/politics_1195,1.00
bbc/politics_1079,bbc/politics_1222,0.62
bbc/politics_1091,bbc/politics_1192,0.98
bbc/politics_1107,bbc/politics_1224,0.96
bbc/politics_1112,bbc/politics_1216,1.00
bbc/politics_1113,bbc/politics_1147,0.52
bbc/politics_1113,bbc/politics_1148,1.00
bbc/politics_1118,bbc/politics_1236,1.00
bbc/politics_1121,bbc/politics_1160,0.92
bbc/politics_1131,bbc/politics_1238,1.00
bbc/politics_1147,bbc/politics_1148,0.52
bbc/politics_1206,bbc/politics_1207,0.84
bbc/politics_1222,bbc/politics_1223,0.58
bbc/sport_1324,bbc/sport_1332,1.00
bbc/sport_1357,bbc/sport_1403,0.50
bbc/sport_1361,bbc/sport_1400,1.00
bbc/sport_1364,bbc/sport_1396,1.00
bbc/sport_1424,bbc/sport_1433,1.00
bbc/sport_1493,bbc/sport_1494,1.00
bbc/sport_1564,bbc/sport_1567,1.00
bbc/sport_1569,bbc/sport_1570,1.00
bbc/sport_1601,bbc/sport_1718,1.00
bbc/sport_1614,bbc/sport_1626,0.96
bbc/sport_1624,bbc/sport_1728,1.00
bbc/sport_1640,bbc/sport_1641,1.00
bbc/sport_1644,bbc/sport_1656,1.00
bbc/sport_1647,bbc/sport_1720,1.00
bbc/sport_1697,bbc/sport_1699,1.00
bbc/sport_1729,bbc/sport_1730,0.52
bbc/sport_1736,bbc/sport_1823,0.80
bbc/sport_1737,bbc/sport_1745,1.00
bbc/sport_1739,bbc/sport_1821,1.00
bbc/sport_1742,bbc/sport_1748,1.00
bbc/sport_1744,bbc/sport_1750,1.00
bbc/sport_1756,bbc/sport_1770,0.68
bbc/sport_1779,bbc/sport_1783,0.98
bbc/sport_1781,bbc/sport_1782,1.00
bbc/sport_1790,bbc/sport_1791,1.00
bbc/sport_1801,bbc/sport_1802,0.98
bbc/tech_1826,bbc/tech_1859,1.00
bbc/tech_1827,bbc/tech_1886,1.00
bbc/tech_1830,bbc/tech_1883,1.00
bbc/tech_1831,bbc/tech_2075,1.00
bbc/tech_1832,bbc/tech_2202,0.84
bbc/tech_1835,bbc/tech_2154,1.00
bbc/tech_1837,bbc/tech_2153,1.00
bbc/tech_1841,bbc/tech_2013,0.62
bbc/tech_1842,bbc/tech_2152,0.94
bbc/tech_1844,bbc/tech_2151,1.00
bbc/tech_1845,bbc/tech_2203,1.00
bbc/tech_1848,bbc/tech_2140,1.00
bbc/tech_1850,bbc/tech_2138,1.00
bbc/tech_1855,bbc/tech_2158,1.00
bbc/tech_1860,bbc/tech_2156,1.00
bbc/tech_1862,bbc/tech_2157,1.00
bbc/tech_1863,bbc/tech_2155,1.00
bbc/tech_1864,bbc/tech_2199,1.00
bbc/tech_1865,bbc/tech_2162,1.00
bbc/tech_1866,bbc/tech_2149,0.82
bbc/tech_1867,bbc/tech_2147,1.00
bbc/tech_1868,bbc/tech_2164,1.00
bbc/tech_1870,bbc/tech_2150,1.00
bbc/tech_1871,bbc/tech_2165,1.00
bbc/tech_1872,bbc/tech_2163,0.98
bbc/tech_1874,bbc/tech_2146,1.00
bbc/tech_1878,bbc/tech_2137,1.00
bbc/tech_1882,bbc/tech_2145,1.00
bbc/tech_1884,bbc/tech_2144,1.00
bbc/tech_1885,bbc/tech_2141,1.00
bbc/tech_1887,bbc/tech_2161,1.00
bbc/tech_1889,bbc/tech_2204,1.00
bbc/tech_1890,bbc/tech_2205,1.00
bbc/tech_1898,bbc/tech_2126,1.00
bbc/tech_1902,bbc/tech_2196,1.00
bbc/tech_1904,bbc/tech_2216,1.00
bbc/tech_1906,bbc/tech_2131,1.00
bbc/tech_1912,bbc/tech_2133,1.00
bbc/tech_1913,bbc/tech_2135,1.00
bbc/tech_1917,bbc/tech_2136,1.00
bbc/tech_1918,bbc/tech_2134,0.98
bbc/tech_1919,bbc/tech_2200,1.00
bbc/tech_1921,bbc/tech_2112,1.00
bbc/tech_1926,bbc/tech_2211,1.00
bbc/tech_1939,bbc/tech_2113,1.00
bbc/tech_1941,bbc/tech_2210,1.00
bbc/tech_1949,bbc/tech_1994,1.00
bbc/tech_1950,bbc/tech_1995,0.98
bbc/tech_1951,bbc/tech_2197,1.00
bbc/tech_1952,bbc/tech_1998,1.00
bbc/tech_1953,bbc/tech_2001,0.96
bbc/tech_1954,bbc/tech_2002,1.00
bbc/tech_1955,bbc/tech_1999,1.00
bbc/tech_1956,bbc/tech_2003,1.00
bbc/tech_1969,bbc/tech_1981,0.98
bbc/tech_1970,bbc/tech_1982,1.00
bbc/tech_1972,bbc/tech_1985,1.00
bbc/tech_1973,bbc/tech_2215,0.98
bbc/tech_1976,bbc/tech_2008,1.00
bbc/tech_1978,bbc/tech_2117,1.00
bbc/tech_1979,bbc/tech_2116,1.00
bbc/tech_1986,bbc/tech_2114,1.00
bbc/tech_1988,bbc/tech_1989,1.00
bbc/tech_1990,bbc/tech_2038,1.00
bbc/tech_1992,bbc/tech_2056,1.00
bbc/tech_2000,bbc/tech_2115,1.00
bbc/tech_2016,bbc/tech_2119,1.00
bbc/tech_2034,bbc/tech_2049,1.00
bbc/tech_2035,bbc/tech_2048,0.98
bbc/tech_2042,bbc/tech_2047,0.96
bbc/tech_2050,bbc/tech_2221,1.00
bbc/tech_2051,bbc/tech_2118,1.00
bbc/tech_2057,bbc/tech_2212,1.00
bbc/tech_2083,bbc/tech_2120,1.00
bbc/tech_2086,bbc/tech_2121,1.00
bbc/tech_2093,bbc/tech_2122,1.00
bbc/tech_2102,bbc/tech_2125,1.00
bbc/tech_2108,bbc/tech_2127,1.00
bbc/tech_2109,bbc/tech_2214,1.00
bbc/tech_2110,bbc/tech_2195,1.00
